MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Specific,Common,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Rudramadhab Ray,Elected,18-May-09,In office,Orissa,Kandhamal,Biju Janata Dal,Male,Graduate,"B.Sc.; Educated at Ravenshaw College, Cuttack, Orissa",74,34,0,639,76%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,27.4,0.6,281,76%
S. Alagiri,Elected,18-May-09,In office,Tamil Nadu,Cuddalore,Indian National Congress,Male,Graduate,"B.A.; Educated at Annamalai University, Tamil Nadu",59,19,0,399,70%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
S. Gandhiselvan,Elected,18-May-09,In office,Tamil Nadu,Namakkal,Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A., M.Phil; Annamalai University",49,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S. Jagathrakshakan,Elected,18-May-09,In office,Tamil Nadu,Arakkonam,Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,Educated at Valudvur,64,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S. Pakkirappa,Elected,18-May-09,In office,Karnataka,Raichur,Bharatiya Janata Party,Male,Under Matric,,53,3,0,569,64%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,14.5,0.2,244,70%
S. R. Jeyadurai,Elected,18-May-09,In office,Tamil Nadu,Thoothukkudi,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., PGDYN; Educated at Pope's College, Sawyerpuram, Thoothukudi",43,11,0,451,58%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
S. Semmalai,Elected,18-May-09,In office,Tamil Nadu,Salem,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., B.L.; Educated at Alagappa College, Pushpam College and Madras Law College",67,92,4,391,85%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
S.P.Y. Reddy,Elected,18-May-09,In office,Andhra Pradesh,Nandyal,Indian National Congress,Male,Graduate,"B.E. (Mechanical); Educated at Reginal Engg. College, Warangal (Andhra Pradesh) ",62,3,0,0,48%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
S.S. Palanimanickam,Elected,18-May-09,In office,Tamil Nadu,Thanjavur,Dravida Munnetra Kazhagam,Male,Graduate,"B.L.; Educated at Madras Law College, Chennai (Tamil Nadu) ",62,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S.S. Ramasubbu,Elected,18-May-09,In office,Tamil Nadu,Tirunelveli,Indian National Congress,Male,Post Graduate,"M.A. (Economics), J.C.I.I.B. (Banking); Educated at Madurai Kamaraj University and Indian Institute of Bankers",62,123,0,754,98%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
Sabbam Hari,Elected,18-May-09,In office,Andhra Pradesh,Anakapalli,Indian National Congress,Male,Graduate,B.Com.; Educated at A.V.N. College,60,0,0,0,77%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Sachin Pilot,Elected,18-May-09,In office,Rajasthan,Ajmer,Indian National Congress,Male,Post Graduate,"B.A. (Hons), M.B.A.; Educated at St. Stephens College, University of Delhi, Delhi and Wharton Business School, University of Pennsylvania, Philadelphia, USA",35,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sadashivrao Dadoba Mandlik,Elected,18-May-09,In office,Maharashtra,Kolhapur,Independent,Male,Graduate,"B.A. (Hons.) English; Educated at University of Poona, Pune, Maharashtra",77,8,0,53,47%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Sai Prathap Annayyagari,Elected,18-May-09,In office,Andhra Pradesh,Rajampet,Indian National Congress,Male,Under Graduate,"Educated at Gulbarga Medical College, Gulbarga, Karnataka",67,1,0,81,87%,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",12.6,0.2,96,77%,5.5,0.1,91,70%
Sajjan Singh Verma,Elected,18-May-09,In office,Madhya Pradesh,Dewas,Indian National Congress,Male,Post Graduate,"M.A. (Sociology); Educated at G.A.C.C. Indore, Madhya Pradesh",59,47,0,324,88%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.5,0.1,174,83%
Sakti Mohan Malik,Elected,18-May-09,In office,West Bengal,Arambagh,Communist Party of India (Marxist),Male,Post Graduate,"M.A., B.Ed. (Bengali and Political Science); Educated at Burdwan University, West Bengal",53,4,0,26,92%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Salman Khurshid,Elected,18-May-09,In office,Uttar Pradesh,Farrukhabad,Indian National Congress,Male,Post Graduate,"B.A., M.A., B.CL.; Educated at St. Stephen`s College, Delhi and Oxford University, Oxford",59,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sambasiva Rayapati Rao,Elected,18-May-09,In office,Andhra Pradesh,Guntur,Indian National Congress,Male,Graduate,"B.Sc.; Educated at New Science College, Hyderabad, Andhra Pradesh",69,13,0,610,67%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Sameer Magan Bhujbal,Elected,18-May-09,In office,Maharashtra,Nashik,Nationalist Congress Party,Male,Matric,Educated at St. Mary`s Convent High School,38,11,0,229,68%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Sandeep Dikshit,Elected,18-May-09,In office,Delhi,East Delhi,Indian National Congress,Male,Post Graduate,"M.A., P.G. Diploma in Rural Development; Educated at St. Stephans College, University of Delhi and Institute of Rural Management, Anand, Gujarat",48,15,0,2,92%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,27.5,4.3,227,96%
Sanjay Bhoi,Elected,18-May-09,In office,Orissa,Bargarh,Indian National Congress,Male,Graduate,"B.A., GNIIT & Microsoft Certified Product Specialist; Educated at Delhi University",38,4,0,300,86%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,27.4,0.6,281,76%
Sanjay Dina Patil,Elected,18-May-09,In office,Maharashtra,Mumbai-North-East,Nationalist Congress Party,Male,Graduate,B.Com.; Educated at Mumbai University,43,6,0,340,86%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Sanjay Jaiswal,Elected,18-May-09,In office,Bihar,Paschim Champaran,Bharatiya Janata Party,Male,Post Graduate,"M.B.B.S., M.D. (General Medicine); Educated at Patna Medical College and Darbhanga Medical College",46,26,0,177,84%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Sanjay Nirupam,Elected,18-May-09,In office,Maharashtra,Mumbai-North,Indian National Congress,Male,Graduate,"B.A. (Hons.) Political Science; Educated at A.N. College, Patna",47,44,0,231,92%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Sanjay Shamrao Dhotre,Elected,18-May-09,In office,Maharashtra,Akola,Bharatiya Janata Party,Male,Graduate,"B.E. (Mech.); Educated at Government College of Engineering, Amravati, Maharashtra",53,12,0,254,76%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Sanjay Singh Chauhan,Elected,18-May-09,In office,Uttar Pradesh,Bijnor,Rashtriya Lok Dal,Male,Graduate,"B.A., LL.B.; Educated at S.D. Degree College, Muzaffar Nagar and D.A.V. Degree College, Muzaffar Nagar, Ch. Charan Singh University, Meerut",50,24,0,245,88%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Sanjay Sinh,Elected,18-May-09,In office,Uttar Pradesh,Sultanpur,Indian National Congress,Male,Doctorate,"M.A. (Hindi), Ph.D.; Educated at R.R.P.G. College, Amethi District,; Sultanpur, Uttar Pradesh",60,20,0,466,77%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Sanjeev Ganesh Naik,Elected,18-May-09,In office,Maharashtra,Thane,Nationalist Congress Party,Male,Inter/ Higher Secondary,"Educated at Mumbai University, Maharashtra",40,55,2,563,94%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Sansuma Khunggur Bwiswmuthiary,Elected,18-May-09,In office,Assam,Kokrajhar,Bodoland People's Front,Male,Graduate,"B.A. (Hons. in Political Science), Prabin (Hindi); Educated at Ouabari Lower Primary School, Hashraobari, Borobazar High School, Bijni, Kokrajhar College, under Guwahati University and the Asom Rashtra Bhasha Prachar Samiti, Guwahati, Assam",52,36,0,69,61%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,16.3,0.5,59,81%
Santosh Chowdhary,Elected,18-May-09,In office,Punjab,Hoshiarpur,Indian National Congress,Female,Post Graduate,"M.A., B.Ed., Certificates in Home Science, Poultry and Animal Husbandry; Educated at Govt. College for Girls, Chandigarh, Govt. College of Education, Chandigarh, Punjab University and Himachal Pradesh University",67,34,0,0,85%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,19,0.6,127,78%
Sarika Singh Baghel,Elected,18-May-09,In office,Uttar Pradesh,Hathras,Rashtriya Lok Dal,Female,Post Graduate,"M.A. (English); Educated at P. C. Bagla College, Hathras",32,0,0,0,94%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Saroj Pandey,Elected,18-May-09,In office,Chhattisgarh,Durg,Bharatiya Janata Party,Female,Post Graduate,"M.Sc. (Child Development); Educated at Bhilai Mahila College (Pt. Ravishankar University, Raipur) ",44,25,3,308,73%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,9.6,0.3,121,64%
Satabdi Roy,Elected,18-May-09,In office,West Bengal,Birbhum,All India Trinamool Congress,Female,Graduate,B.A.,42,2,0,0,72%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Sathyanarayana Sarvey,Elected,18-May-09,In office,Andhra Pradesh,Malkajgiri,Indian National Congress,Male,Post Graduate,"B.A, LL.B, LL.M.; Educated at Osmania University, Hyderabad and; Evening College of Law, Thilak Road, Abids, Hyderabad; Andhra Pradesh",58,4,0,267,72%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Satpal Maharaj,Elected,18-May-09,In office,Uttarakhand,Garhwal,Indian National Congress,Male,Inter/ Higher Secondary,"Senior Cambridge; Educated at St. George`s College, Mussoorie (Uttarakhand) ",60,113,9,80,86%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,38.7,4.6,78,81%
Saugata Roy,Elected,18-May-09,In office,West Bengal,Dum Dum,All India Trinamool Congress,Male,Post Graduate,"M.Sc., LL.B.; Jogesh Chandra Law College, Kolkata-33",65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Seema Upadhyay,Elected,18-May-09,In office,Uttar Pradesh,Fatehpur Sikri,Bahujan Samaj Party,Female,Graduate,B.A.; Educated at Ismail Degree College,47,9,0,226,87%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Selja,Elected,18-May-09,In office,Haryana,Ambala,Indian National Congress,Female,Post Graduate,"M.A., M.Phil.; Educated at Convent of Jesus & Mary, New Delhi,; Graduation and Post-graduation from Panjab University, Chandigarh",49,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shafiqur Rahman Barq,Elected,18-May-09,In office,Uttar Pradesh,Sambhal,Bahujan Samaj Party,Male,Graduate,"B.A.; Educated at Agra University, Agra, Uttar Pradesh",82,25,0,71,98%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Shailendra Kumar,Elected,18-May-09,In office,Uttar Pradesh,Kaushambi,Samajwadi Party,Male,Post Graduate,M. Com.; Educated at Allahabad University (Uttar Pradesh) ,52,269,3,143,97%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Sharad Chandra Govindrao Pawar,Elected,18-May-09,In office,Maharashtra,Madha,Nationalist Congress Party,Male,Graduate,B.Com.,71,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sharad Yadav,Elected,18-May-09,In office,Bihar,Madhepura,Janata Dal (United),Male,Graduate,"B.Sc., B.E. (Electrical); Educated at Robertson College and Jabalpur Engineering College, Jabalpur, Madhya Pradesh",65,121,0,41,84%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Sharifuddin Shariq,Elected,18-May-09,In office,Jammu and Kashmir,Baramulla,Jammu and Kashmir National Conference,Male,Post Graduate,"M.A. (Urdu), B.Ed, D.T. and LL.B.; Educated at Jammu and Kashmir University and Aligarh Muslim University, Aligarh (UP) ",77,32,0,57,88%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,35.4,0,84,89%
Shashi Tharoor,Elected,18-May-09,In office,Kerala,Thiruvananthapuram,Indian National Congress,Male,Doctorate,"Ph.D., D.Litt. (Hons.), M.A., M.A.L.D. and B.A. (Hons.); Educated at St Stephen`s College, New Delhi and Fletcher School of Law and Diplomacy at Tufts University, USA",56,12,1,87,87%,"This MP was a Minister.  He tendered his resignation on 18th April, 2010.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only from 19th April, 2010."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",21.5,0.4,167,77%,36.8,0.9,228,84%
Shatrughan Sinha,Elected,18-May-09,In office,Bihar,Patna Sahib,Bharatiya Janata Party,Male,Graduate,"Educated at Film & Television Institute of Pune (FTII), Maharashtra",66,6,0,66,73%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Sheesh Ram Ola,Elected,18-May-09,In office,Rajasthan,Jhunjhunu,Indian National Congress,Male,Matric,"Educated at Education Board, Rajasthan",85,4,0,8,94%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,37.3,0.8,208,88%
Sher Singh Ghubaya,Elected,18-May-09,In office,Punjab,Ferozpur,Shiromani Akali Dal,Male,Matric,,50,10,0,39,63%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,19,0.6,127,78%
Shibu Soren,Elected,18-May-09,In office,Jharkhand,Dumka,Jharkhand Mukti Morcha,Male,Matric,"Educated at Gola High School, Hazaribagh (Jharkhand) ",68,0,0,0,21%,Complete attendance for this MP is not available," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,25.9,0.8,186,66%
Shivaji Adhalrao Patil,Elected,18-May-09,In office,Maharashtra,Shirur,Shiv Sena,Male,Inter/ Higher Secondary,"Intermediate (Arts); Educated at Shivaji University, Kolhapur, Maharashtra.",56,10,0,702,42%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Shivaramagouda Shivanagouda,Elected,18-May-09,In office,Karnataka,Koppal,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B.; Educated at Karnataka College, Dhawar and Karnataka University Law College, Dhawar",58,32,0,146,77%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,14.5,0.2,244,70%
Shivraj Singh Lodhi,Elected,18-May-09,In office,Madhya Pradesh,Damoh,Bharatiya Janata Party,Male,Matric,"Educated at Govt. Higher Secondary School, Distt. Sagar, Madhya Pradesh",68,11,0,67,87%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.5,0.1,174,83%
Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,Elected,18-May-09,In office,Maharashtra,Satara,Nationalist Congress Party,Male,Post Graduate,"Production Engg., Educated at Bharati Vidyapeeth",46,1,0,39,52%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Shripad Yesso Naik,Elected,18-May-09,In office,Goa,North Goa,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Goa and Bombay University, Mumbai (Maharashtra) ",59,28,0,115,81%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,20.5,0.5,150,87%
Shriprakash Jaiswal,Elected,18-May-09,In office,Uttar Pradesh,Kanpur,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at D.A.V. College, Kanpur, Uttar Pradesh",67,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shruti Choudhry,Elected,18-May-09,In office,Haryana,Bhiwani-Mahendragarh,Indian National Congress,Female,Graduate,"B.A., LL.B.; Educated at Univeristy of Delhi and B.R. Ambedkar University, Agra",36,12,0,425,80%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,8.7,0.1,150,69%
Sidhant Mohapatra,Elected,18-May-09,In office,Orissa,Berhampur,Biju Janata Dal,Male,Post Graduate,M.B.A.; Educated at Institute of Marketing and Management,46,2,0,4,62%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,27.4,0.6,281,76%
Sisir Kumar Adhikari,Elected,18-May-09,In office,West Bengal,Kanthi,All India Trinamool Congress,Male,Inter/ Higher Secondary,I.Sc.,70,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sivakumar @ J.K. Ritheesh. K,Elected,18-May-09,In office,Tamil Nadu,Ramanthapuram,Dravida Munnetra Kazhagam,Male,Graduate,"B.E. (Civil), D.C.E.,; Educated at Alagappa Engneering College, Karaikudi, Tamil Nadu",39,15,0,106,38%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
Sk. Nurul Islam,Elected,18-May-09,In office,West Bengal,Basirhat,All India Trinamool Congress,Male,Matric,ALIM; Educated at Khorki Sr. Madrasa,48,1,0,4,42%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Sk. Saidul Haque,Elected,18-May-09,In office,West Bengal,Bardhaman-Durgapur,Communist Party of India (Marxist),Male,Post Graduate,"M.A. (English), B.Ed.; Educated at Burdwan Raj College, Burdwan University",58,71,0,193,97%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Sohan Potai,Elected,18-May-09,In office,Chhattisgarh,Kanker,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Sociology); Educated at Pandit Ravi Shankar University, Raipur (Chhattisgarh) ",54,10,0,3,71%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,9.6,0.3,121,64%
Solanki Dinubhai Boghabhal,Elected,18-May-09,In office,Gujarat,Junagadh,Bharatiya Janata Party,Male,Graduate,B.A.,55,0,0,0,17%,Complete attendance for this MP is not available," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,30.1,1,276,79%
Somabhai Gandalal Koli Patel,Elected,18-May-09,In office,Gujarat,Surendranagar,Indian National Congress,Male,Under Matric,"Educated at Viramgam Taluka Shala, Viramgam, Ahmedabad, Gujarat",72,1,0,6,87%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,30.1,1,276,79%
Somendra Nath Mitra,Elected,18-May-09,In office,West Bengal,Diamond Harbour,All India Trinamool Congress,Male,Graduate,"B.Sc., LL.B.",68,1,0,193,48%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Sonawane Pratap Narayanrao,Elected,18-May-09,In office,Maharashtra,Dhule,Bharatiya Janata Party,Male,Graduate,"B.E.(Civil); Educated at College of Engineering., Pune, (Maharashtra)",63,12,0,232,50%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Sonia Gandhi,Elected,18-May-09,In office,Uttar Pradesh,Rae Bareli,Indian National Congress,Female,Diploma Course,"(i) Three years course in foreign languages (English & French) completed in 1964 at Istituto Santa Teresa, Turin (Italy); (ii) Certificate in English from Lennox Cook School, Cambridge (U.K.) completed in 1965.",65,1,0,0,47%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Srikanta Kumar Jena,Elected,18-May-09,In office,Orissa,Balasore,Indian National Congress,Male,Graduate,"B.A.; Educated at Kendrapara College, Utkal University, Cuttack, Orissa",62,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Subhash Bapurao Wankhede,Elected,18-May-09,In office,Maharashtra,Hingoli,Shiv Sena,Male,Matric,"Educated at Zilla Parishad School, Hadgaon, Maharashtra",49,10,0,283,65%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Subodh Kant Sahay,Elected,18-May-09,In office,Jharkhand,Ranchi,Indian National Congress,Male,Graduate,"B.Sc., LL.B.; Educated at A.N. College, Patna and Ranchi University",61,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Subrata Bakshi,Elected,21-Dec-11,In office,West Bengal,Kolkata Dakshin,All India Trinamool Congress,Male,Professional Graduate,"B.Sc., LL.B.",62,1,0,0,32%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",8,0.2,53,77%,8.1,0.1,31,72%
Sucharu Ranjan Haldar,Elected,18-May-09,In office,West Bengal,Ranaghat,All India Trinamool Congress,Male,Post Graduate,"M.B.B.S., DTM&H, DDV, M.D.; Educated at (i) Kanakrapara Municiapal Polytechnic High School, (ii) Hooghly Mohsin College, (iii) Medical College, Kolkata, (iv) Kolkata School of Tropical Medicine, (v) University College of Medicine (Kolkata University) and ",72,6,0,25,82%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Sudarshan Bhagat,Elected,18-May-09,In office,Jharkhand,Lohardaga,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.); Educated at Kartik Uraon College, Gumla, University of Ranchi, Jharkhand",42,14,0,296,87%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,25.9,0.8,186,66%
Sudip Bandyopadhyay,Elected,18-May-09,In office,West Bengal,Kolkata Uttar,All India Trinamool Congress,Male,Graduate,"B.Sc.; Educated at K.N. College, Berhampore, West Bengal",59,45,0,0,89%,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",15.8,0.4,119,77%,21.8,0.6,78,72%
Sukender Reddy Gutha,Elected,18-May-09,In office,Andhra Pradesh,Nalgonda,Indian National Congress,Male,Graduate,"B.Sc.; Educated at Osmania University, Hyderabad, Andhra Pradesh",58,7,0,83,63%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Sukhdev Singh Libra,Elected,18-May-09,In office,Punjab,Fatehgarh Sahib,Indian National Congress,Male,Matric,"Educated at Shri Guru Govind Singh High School, Khanna, Distt. Ludhiana, Punjab",79,8,0,86,97%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,19,0.6,127,78%
